음식,총가격,인원구성,요일 및 시간,날씨
"떡볶이, 소고기주먹밥, 부대찌개, 오징어덮밥",24500,여(46) 여(31) 여(47) 남(23),2024-08-19 17:08:00,맑음
"얼큰해물라면, 김치라면, 떡만두국, 순두부찌개, 떡볶이",33500,여(54) 여(43) 남(29) 여(39) 여(33),2023-04-13 05:22:00,맑음
"김치라면, 참치주먹밥, 돈까스김밥",14500,여(44) 남(52),2023-08-30 19:22:00,맑음
"고구마돈까스, 순두부찌개",16500,남(20),2024-09-12 05:32:00,맑음
"비빔국수, 땡초진미김밥, 얼큰해물라면, 뚝배기불고기",28500,남(58) 남(26) 여(48) 여(20),2023-11-06 02:05:00,눈
된장찌개,7000,남(26),2023-04-19 05:57:00,맑음
"새우튀김김밥, 떡라면, 김치찌개, 소고기김밥, 땡초진미김밥, 얼큰해물라면",36000,남(32) 여(17) 여(32) 여(60) 남(57),2023-09-21 12:45:00,맑음
"계란말이김밥, 김치찌개, 돈까스김밥, 소고기김밥, 오징어덮밥, 날치알주먹밥",34500,여(28) 여(54) 여(56) 여(19) 여(33),2024-10-24 14:01:00,맑음
"치즈떡볶이, 돈까스김밥, 새우볶음밥, 김치라면, 날으는 김밥, 참치순두부찌개",34000,남(19) 남(34) 남(44) 여(51) 여(31),2023-09-02 20:39:00,비
"고구마돈까스, 참치주먹밥",13500,남(39) 여(53),2024-10-28 21:31:00,흐림
"땡초진미김밥, 비빔밥, 멸치주먹밥, 계란말이김밥, 된장찌개",28500,남(10) 여(43) 남(13) 여(32),2024-10-22 14:18:00,흐림
"돈까스, 된장찌개, 우동, 소고기주먹밥",26500,남(37) 남(39) 여(13) 여(48),2023-07-17 16:09:00,맑음
"된장찌개, 뚝배기불고기, 참치순두부찌개",22500,남(27) 남(59) 여(37),2023-10-21 21:42:00,눈
소고기주먹밥,4000,남(51),2024-01-15 02:54:00,맑음
참치주먹밥,4000,여(37),2024-01-11 18:46:00,맑음
"참치와사비김밥, 멸치주먹밥, 비빔밥, 소고기주먹밥",20000,남(53) 여(37) 남(43) 여(26),2024-09-15 07:37:00,비
멸추김밥,5000,남(49),2023-07-28 05:30:00,맑음
"떡만두국, 참치김밥, 콩국수, 멸추김밥",25500,남(44) 남(39) 남(53),2023-09-04 13:27:00,맑음
"된장찌개, 멸추김밥, 소고기주먹밥",16000,여(59) 여(20) 여(34),2024-04-19 03:26:00,흐림
"날치알김밥, 얼큰해물라면, 생선까스, 땡초진미김밥, 소고기주먹밥",32000,남(25) 남(20) 남(57) 남(23) 여(14),2024-01-19 18:40:00,맑음
"얼큰해물라면, 생선까스, 계란말이김밥, 참치와사비김밥, 오불덮밥",36500,남(52) 여(15) 남(49) 여(59),2024-06-29 03:33:00,맑음
"제육덮밥, 날치알주먹밥, 날치알주먹밥",15000,남(57) 여(48) 남(35),2023-06-05 16:58:00,맑음
"뚝배기불고기, 멸치주먹밥, 멸추김밥",17000,남(42) 남(42) 남(27),2023-06-21 20:06:00,맑음
"참치주먹밥, 오징어덮밥",12000,여(18) 여(51),2023-08-22 01:12:00,눈
"우동, 오징어덮밥, 만두라면",19500,남(13) 남(45),2023-08-23 05:00:00,비
"참치주먹밥, 참치주먹밥, 날치알주먹밥, 새우볶음밥",19000,여(48) 여(24) 남(48) 남(46),2023-12-15 11:58:00,맑음
"순두부찌개, 고기만두, 참치와사비김밥, 날치알주먹밥",20000,남(25) 남(56) 남(25) 여(30),2023-03-19 22:17:00,맑음
"뚝배기불고기, 새우볶음밥, 오뎅, 소고기주먹밥",23500,남(19) 여(20) 여(43) 남(56),2024-01-07 16:56:00,맑음
"고구마돈까스, 참치비빔밥, 치즈김밥, 김치찌개",28500,여(29) 남(10) 여(60),2023-08-28 03:43:00,맑음
"땡초진미김밥, 만두국, 치즈김밥, 참치주먹밥",20500,여(59) 남(33) 남(58),2023-11-07 10:10:00,눈
땡초진미김밥,5000,여(31),2023-10-04 12:58:00,맑음
"날치알주먹밥, 부대찌개",12000,여(36) 남(35),2024-01-10 21:04:00,맑음
"생선까스, 떡볶이, 참치주먹밥",18000,남(47) 남(45) 남(23),2023-12-31 00:21:00,맑음
"참치주먹밥, 김치찌개, 김치볶음밥, 비빔국수, 소고기주먹밥",29000,남(54) 여(49) 남(20) 남(48) 여(42),2024-09-17 00:47:00,맑음
"참치주먹밥, 소고기주먹밥",8000,남(27) 여(23),2023-08-14 21:08:00,맑음
"멸치주먹밥, 부대찌개",12000,여(18),2023-11-01 08:46:00,맑음
순두부찌개,7000,남(41),2024-10-28 10:56:00,맑음
"오뎅, 콩국수",12500,남(45) 남(56),2024-06-02 17:23:00,맑음
"고기만두, 라볶이",9000,남(40) 남(57),2024-02-29 18:53:00,흐림
"소고기주먹밥, 멸치주먹밥, 김치볶음밥, 순두부찌개, 된장찌개",29000,남(17) 남(27) 여(21) 여(58) 남(46),2023-09-22 07:57:00,비
"새우볶음밥, 새우볶음밥, 참치와사비김밥, 날으는 김밥, 치즈라볶이",28500,남(18) 여(37) 여(12) 여(30) 남(11),2023-12-22 08:10:00,흐림
"비빔밥, 참치와사비김밥, 소고기주먹밥",16000,여(34) 여(52),2024-01-09 08:22:00,눈
"참치비빔밥, 김치찌개, 만두라면, 새우튀김김밥, 고구마돈까스",34500,여(33) 남(28) 남(46) 남(43) 남(56),2024-09-20 22:17:00,맑음
"고구마돈까스, 뚝배기불고기",17500,남(55),2024-04-11 03:52:00,맑음
"참치비빔밥, 오불덮밥",15500,여(60),2023-10-28 19:36:00,흐림
"김치볶음밥, 육개장, 소고기주먹밥, 김치만두, 오불덮밥, 참치주먹밥",35000,남(42) 여(53) 여(29) 여(12) 남(33),2024-09-06 06:56:00,맑음
"참치와사비김밥, 소고기주먹밥, 참치순두부찌개, 뚝배기불고기",24500,남(22) 남(48) 남(12) 여(22),2024-07-14 04:34:00,눈
"참치주먹밥, 고구마돈까스, 쫄면, 라볶이",25500,여(34) 남(14) 여(46) 남(56),2024-04-06 03:26:00,맑음
"돈까스김밥, 날으는 김밥",8500,남(43),2024-07-08 17:52:00,맑음
"김치찌개, 만두라면, 치즈김밥, 참치김밥, 우동",27500,여(39) 여(36) 남(10) 남(35),2024-07-15 01:44:00,맑음
"참치주먹밥, 군만두, 날치알김밥",13000,여(10) 남(15) 남(36),2024-09-26 00:35:00,흐림
참치덮밥,7500,여(28),2024-10-09 19:33:00,흐림
"떡만두국, 참치찌개, 참치주먹밥",19000,여(47) 남(31),2024-03-26 09:25:00,맑음
"생선까스, 된장찌개, 콩국수, 된장찌개, 치즈라볶이",37500,남(37) 남(18) 여(44) 여(31),2024-07-19 03:01:00,맑음
"날으는 김밥, 치즈김밥, 참치주먹밥, 떡라면, 참치순두부찌개, 새우튀김김밥",30000,남(41) 남(49) 남(39) 여(29) 여(40),2023-06-21 14:14:00,눈
"제육덮밥, 소고기주먹밥, 치즈라면, 군만두, 김치라면",26000,남(28) 남(38) 남(18) 남(43) 여(36),2024-01-30 14:35:00,흐림
"치즈김밥, 뚝배기불고기, 우동, 뚝배기불고기",26500,여(43) 여(20) 여(47),2023-11-12 08:25:00,맑음
"새우볶음밥, 치즈떡볶이",12500,여(52),2023-10-26 13:15:00,비
"멸치주먹밥, 날치알주먹밥, 참치찌개, 순두부찌개",22000,여(20) 남(29) 여(50) 여(13),2024-02-06 13:25:00,흐림
"날으는 김밥, 참치순두부찌개, 비빔밥, 김치만두, 떡만두국, 소고기주먹밥",34000,여(31) 여(19) 여(53) 남(10) 여(36),2023-05-05 15:37:00,비
"참치덮밥, 계란말이김밥, 육개장",21000,남(29) 남(60) 여(53),2024-09-10 18:40:00,맑음
"김치찌개, 계란말이김밥",12500,여(16),2024-06-15 06:28:00,흐림
제육덮밥,7000,남(24),2024-10-31 01:07:00,맑음
돈까스김밥,5000,여(13),2024-01-21 18:55:00,맑음
"돈까스, 고구마돈까스, 멸치주먹밥, 육개장",31000,남(53) 여(37) 여(14),2023-03-18 16:21:00,흐림
"육개장, 멸치주먹밥, 라면, 오불덮밥, 된장찌개",31500,여(10) 여(30) 남(48) 여(41) 여(17),2024-09-04 22:05:00,맑음
"떡볶이, 고구마돈까스, 새우볶음밥, 고구마돈까스, 순두부찌개",37500,남(43) 남(34) 여(54) 여(37) 여(29),2023-04-03 00:28:00,흐림
"김치볶음밥, 치즈떡볶이, 돈까스, 얼큰해물우동",30500,여(33) 남(40) 여(51),2024-06-05 15:35:00,맑음
"참치찌개, 된장찌개, 비빔밥, 날으는 김밥, 오뎅",29000,남(22) 여(26) 여(38) 남(32) 여(15),2023-09-05 16:20:00,맑음
"고구마돈까스, 오뎅",14000,여(48),2023-03-27 11:01:00,맑음
"얼큰해물우동, 김치라면, 참치순두부찌개",21500,남(16) 남(52),2023-04-10 03:23:00,맑음
"김치만두, 참치주먹밥",8000,여(56) 여(16),2023-11-14 09:43:00,비
"얼큰해물우동, 멸추김밥, 치즈라볶이",19500,남(53) 여(50) 여(59),2024-10-24 11:31:00,흐림
"날치알주먹밥, 날치알김밥",9000,남(53) 여(27),2024-03-09 09:13:00,맑음
"참치주먹밥, 멸치주먹밥, 쫄면, 땡초진미김밥, 땡초진미김밥",25000,남(27) 남(22) 남(18) 여(32),2023-07-14 21:28:00,맑음
"참치김밥, 떡국, 치즈라면, 돈까스, 날치알주먹밥",30500,여(35) 남(36) 여(11) 남(37),2024-08-02 21:38:00,맑음
"라볶이, 날치알김밥, 참치순두부찌개",17500,여(34) 여(20),2023-12-26 13:07:00,비
"치즈돈까스, 참치주먹밥, 라볶이, 오징어덮밥, 생선까스",36000,남(22) 남(52) 여(33) 남(18) 여(35),2024-05-06 23:53:00,맑음
"새우볶음밥, 돈까스, 참치주먹밥, 소고기주먹밥",24500,여(18) 여(49) 남(26) 남(60),2023-12-16 15:18:00,맑음
"새우튀김김밥, 얼큰해물라면, 소고기주먹밥",17500,남(15) 남(47),2023-03-06 18:42:00,눈
"멸치주먹밥, 된장찌개, 치즈라면, 새우볶음밥",23500,남(44) 남(30) 여(18),2023-06-21 00:35:00,맑음
"된장찌개, 잔치국수, 멸추김밥, 떡만두국",27000,여(22) 여(25) 남(33) 여(59),2024-08-29 19:51:00,맑음
"생선까스, 치즈김밥, 육개장, 소고기주먹밥, 돈까스",35500,여(45) 여(59) 남(37) 남(56),2024-08-17 00:07:00,맑음
"김치라면, 고구마돈까스, 비빔밥, 멸치주먹밥, 새우튀김김밥",31000,여(35) 남(53) 남(41) 여(29),2023-06-07 12:13:00,맑음
"새우볶음밥, 비빔국수",14000,남(36),2024-01-23 22:56:00,흐림
얼큰해물우동,8500,여(42),2023-08-14 02:37:00,맑음
"참치찌개, 라면, 된장찌개, 땡초진미김밥",23500,남(31) 여(10) 여(57),2023-07-07 18:17:00,맑음
날치알주먹밥,4000,여(39),2023-09-19 03:11:00,비
"만두국, 참치찌개, 새우튀김김밥, 고기만두, 고구마돈까스",32500,여(11) 여(51) 여(60) 여(31),2024-01-06 10:42:00,맑음
"만두라면, 오불덮밥",13500,여(60) 남(53),2024-03-27 22:08:00,맑음
"만두국, 땡초진미김밥, 오징어덮밥, 계란말이김밥",25500,남(30) 남(20) 남(15),2024-02-27 01:41:00,맑음
"잔치국수, 치즈김밥, 육개장, 육개장, 군만두",31500,남(50) 여(48) 남(46) 여(52),2023-04-03 19:19:00,흐림
"떡라면, 참치주먹밥",9500,여(47),2024-05-15 09:10:00,맑음
만두국,7000,여(14),2024-01-29 07:43:00,맑음
"김치만두, 된장찌개, 계란말이김밥, 땡초진미김밥",21500,여(45) 남(43) 남(29) 남(27),2023-10-12 00:18:00,눈
"참치주먹밥, 라면",8500,여(33) 여(12),2024-01-14 22:43:00,흐림
"멸추김밥, 돈까스김밥, 멸추김밥, 계란말이김밥, 얼큰해물우동",29000,남(30) 여(37) 남(33) 남(38),2023-04-06 05:47:00,비
"멸치주먹밥, 뚝배기불고기, 소고기주먹밥, 날치알김밥, 된장찌개",28000,남(49) 여(34) 남(51) 남(13),2023-06-12 02:46:00,맑음
"날치알주먹밥, 떡만두국, 땡초진미김밥, 치즈떡볶이",22500,여(23) 여(33) 여(33) 여(33),2023-10-06 22:20:00,비
"멸추김밥, 비빔국수",12000,남(25) 남(49),2023-12-22 21:50:00,흐림
"참치찌개, 날치알주먹밥, 비빔밥",18000,여(55) 남(29),2023-07-24 02:38:00,맑음
"얼큰해물라면, 김치찌개",15500,여(28),2023-12-04 01:36:00,맑음
"참치찌개, 비빔밥, 참치덮밥",21500,남(35) 남(34),2023-05-08 22:02:00,맑음
"오불덮밥, 김치볶음밥",15000,여(54) 남(22),2023-04-21 09:11:00,맑음
"계란말이김밥, 오므라이스, 참치주먹밥, 날치알주먹밥",20500,여(29) 남(22) 남(22) 남(38),2023-09-30 23:35:00,흐림
된장찌개,7000,남(18),2024-07-21 21:32:00,맑음
"생선까스, 치즈라면, 군만두, 돈까스",28500,남(36) 여(34) 남(23),2024-09-02 18:00:00,맑음
"된장찌개, 치즈라면",12500,여(12) 남(16),2024-01-19 10:11:00,흐림
"날으는 김밥, 육개장, 참치와사비김밥, 부대찌개, 참치찌개",31500,여(16) 여(54) 남(18) 남(22) 남(51),2024-06-03 18:56:00,맑음
"참치찌개, 참치김밥, 떡국, 참치찌개, 멸추김밥, 오므라이스",37500,여(17) 남(32) 남(51) 여(29) 남(15),2023-03-14 02:16:00,눈
"참치찌개, 군만두, 날치알주먹밥, 비빔밥",22000,남(22) 남(41) 여(25),2023-08-19 07:09:00,맑음
"참치주먹밥, 소고기주먹밥, 날치알주먹밥, 참치찌개",19000,여(13) 남(47) 남(36),2023-03-31 09:48:00,맑음
"떡라면, 소고기김밥, 만두라면, 떡라면",21500,남(35) 남(39) 여(32),2024-04-27 22:03:00,비
"비빔밥, 순두부찌개, 김치찌개, 육개장",29000,남(60) 남(40) 여(12),2023-04-09 13:00:00,비
"생선까스, 오므라이스",16500,여(36) 남(30),2024-04-04 01:44:00,흐림
"오므라이스, 참치주먹밥",11000,남(41),2023-07-21 18:23:00,맑음
"된장찌개, 고구마돈까스, 날으는 김밥, 새우튀김김밥",25000,남(17) 남(10) 여(44),2023-03-08 05:15:00,흐림
비빔밥,7000,남(44),2024-10-31 04:34:00,맑음
"김치만두, 참치비빔밥, 소고기김밥",16500,여(29) 남(57),2023-12-21 05:52:00,흐림
"김치볶음밥, 고기만두, 뚝배기불고기, 생선까스",28500,여(60) 남(44) 남(15),2023-04-07 22:10:00,맑음
날치알주먹밥,4000,남(13),2024-02-20 23:09:00,맑음
"멸치주먹밥, 얼큰해물라면, 참치비빔밥",20000,여(13) 여(19),2023-08-21 17:55:00,맑음
"잔치국수, 순두부찌개, 치즈김밥",18500,남(28) 여(34),2024-05-04 11:16:00,맑음
"참치주먹밥, 오징어덮밥",12000,남(43),2023-05-25 04:00:00,비
"오므라이스, 콩국수, 비빔국수, 참치주먹밥",26000,여(34) 남(43) 남(50) 여(16),2023-06-05 16:47:00,흐림
돈까스,9500,남(57),2024-10-08 01:28:00,맑음
"치즈김밥, 김치만두, 돈까스김밥",13500,남(55) 여(42) 남(37),2023-12-06 18:32:00,맑음
"멸치주먹밥, 땡초진미김밥, 오므라이스, 부대찌개, 날치알주먹밥",28000,남(54) 여(12) 여(18) 남(24),2024-07-14 06:07:00,맑음
"치즈돈까스, 참치비빔밥",17000,여(36) 남(20),2024-06-01 22:27:00,맑음
"참치와사비김밥, 떡국",12000,여(39),2024-07-21 10:55:00,눈
"비빔국수, 생선까스, 참치주먹밥, 멸치주먹밥, 소고기주먹밥",28500,여(50) 남(29) 남(42) 남(21) 남(45),2023-08-26 16:50:00,눈
"소고기주먹밥, 순두부찌개",11000,남(60),2024-10-31 22:02:00,흐림
"참치김밥, 참치덮밥, 떡만두국, 김치볶음밥, 비빔밥",34000,여(21) 여(59) 남(35) 여(14) 여(41),2023-05-07 19:37:00,비
"참치주먹밥, 치즈라면, 육개장",17500,남(18) 여(40) 남(56),2024-08-06 19:37:00,맑음
돈까스김밥,5000,여(57),2023-09-03 16:01:00,맑음
"뚝배기불고기, 계란말이김밥, 오징어덮밥",21500,남(21) 남(51),2023-12-30 17:15:00,맑음
"육개장, 치즈라볶이",14000,남(56),2023-03-05 15:23:00,맑음
"콩국수, 멸치주먹밥, 된장찌개",19000,남(34) 여(12) 남(20),2023-10-01 10:46:00,맑음
"돈까스김밥, 쫄면",12000,남(41),2023-05-12 14:31:00,흐림
"새우볶음밥, 치즈돈까스",16500,여(10),2024-08-06 14:33:00,흐림
"참치주먹밥, 우동, 순두부찌개, 치즈돈까스",26500,여(28) 여(14) 여(17) 여(16),2023-03-29 13:20:00,비
"참치순두부찌개, 부대찌개, 만두국",22500,여(45) 남(15) 여(19),2023-08-10 00:41:00,맑음
"참치찌개, 육개장, 김치찌개, 소고기주먹밥, 소고기주먹밥",30000,여(54) 남(44) 여(49) 여(20),2023-12-02 17:16:00,맑음
"순두부찌개, 새우볶음밥, 떡라면",19500,남(43) 여(48),2024-06-08 19:39:00,흐림
"참치주먹밥, 육개장, 참치찌개, 육개장, 육개장, 잔치국수",42000,여(54) 남(29) 여(41) 여(46) 남(16),2024-02-08 07:06:00,흐림
"고기만두, 계란말이김밥",9500,남(42),2024-02-14 13:19:00,맑음
"고기만두, 참치김밥, 참치비빔밥, 김치라면, 김치라면",27000,남(29) 여(58) 여(50) 남(40),2023-08-30 13:07:00,눈
"우동, 제육덮밥, 참치김밥, 오징어덮밥",25500,남(32) 여(51) 여(59),2023-04-22 04:34:00,맑음
"참치김밥, 고구마돈까스, 치즈김밥",18500,여(55) 여(57),2023-05-09 07:32:00,흐림
소고기주먹밥,4000,여(31),2024-10-01 09:19:00,비
"참치순두부찌개, 날치알주먹밥, 참치찌개, 치즈돈까스",28000,남(60) 남(16) 여(48) 여(59),2024-07-16 21:33:00,맑음
"돈까스김밥, 날치알김밥",10000,여(11) 여(28),2024-04-09 18:05:00,맑음
"오뎅, 된장찌개, 군만두, 부대찌개, 참치찌개",30500,여(52) 여(30) 남(12) 여(28),2023-04-28 23:09:00,비
"소고기김밥, 멸치주먹밥, 계란말이김밥, 멸치주먹밥, 새우튀김김밥",23500,여(56) 여(16) 남(48) 남(11),2024-05-22 23:37:00,눈
"제육덮밥, 참치김밥, 참치김밥, 멸치주먹밥, 멸치주먹밥, 육개장",32000,남(39) 여(48) 여(40) 여(37) 여(32),2023-09-18 14:11:00,흐림
"김치찌개, 소고기주먹밥, 날치알주먹밥",15000,여(11) 남(13) 남(33),2023-05-31 02:40:00,눈
"육개장, 비빔국수",15000,남(10) 남(24),2023-05-07 13:52:00,비
"새우튀김김밥, 소고기주먹밥, 날치알김밥, 멸치주먹밥, 멸치주먹밥",22000,여(48) 남(46) 여(43) 남(12) 남(16),2024-09-10 05:22:00,맑음
"소고기주먹밥, 돈까스, 떡만두국",21500,여(56) 여(33),2024-06-12 00:26:00,맑음
"김치찌개, 멸치주먹밥, 날치알김밥",16000,여(18) 여(59),2024-08-30 01:20:00,흐림
"돈까스김밥, 멸추김밥, 쫄면, 소고기주먹밥, 쫄면",28000,남(42) 남(27) 여(30) 남(52) 여(14),2024-06-25 12:53:00,맑음
"멸치주먹밥, 참치주먹밥, 얼큰해물우동, 참치주먹밥",20500,남(52) 남(31) 남(13) 여(35),2024-03-18 22:29:00,맑음
"참치비빔밥, 제육덮밥",14500,여(34),2023-07-25 08:50:00,맑음
"부대찌개, 참치주먹밥, 참치주먹밥, 제육덮밥",23000,남(18) 남(56) 남(47),2023-08-06 13:04:00,눈
"비빔국수, 떡라면, 치즈김밥, 참치찌개, 얼큰해물우동, 참치와사비김밥",37500,여(58) 남(31) 여(18) 남(33) 여(36),2024-03-21 13:51:00,맑음
"뚝배기불고기, 얼큰해물라면, 오징어덮밥, 치즈김밥",29000,여(34) 여(34) 남(49),2023-07-08 14:19:00,맑음
"된장찌개, 김치라면, 날치알주먹밥, 만두국",23500,남(35) 남(30) 여(42),2023-04-11 08:02:00,맑음
"떡볶이, 멸치주먹밥, 참치주먹밥, 치즈김밥",17000,여(41) 남(42) 여(42),2024-02-28 04:01:00,맑음
"참치주먹밥, 김치볶음밥, 군만두",15000,여(27) 남(41),2024-06-06 11:08:00,비
"부대찌개, 치즈라볶이, 비빔밥, 소고기주먹밥",25000,여(48) 여(16) 여(33) 여(44),2024-08-15 16:51:00,비
"떡만두국, 라면, 날으는 김밥, 멸치주먹밥, 참치주먹밥, 날으는 김밥",27500,여(11) 남(60) 여(54) 여(32) 여(45),2023-11-27 05:20:00,맑음
참치김밥,4500,남(23),2024-02-21 14:02:00,눈
"군만두, 비빔밥, 오므라이스",18000,여(46) 여(51),2023-05-28 05:47:00,흐림
"콩국수, 고구마돈까스, 참치주먹밥",21500,남(45) 여(57),2024-01-11 00:01:00,맑음
"순두부찌개, 참치주먹밥, 육개장",19000,여(45) 남(52),2024-05-26 08:44:00,맑음
"군만두, 오징어덮밥, 날치알주먹밥, 부대찌개, 참치주먹밥, 치즈김밥",32500,여(22) 여(20) 여(15) 여(21) 남(28),2024-08-13 20:09:00,맑음
"날치알주먹밥, 날치알김밥, 소고기주먹밥",13000,여(28) 남(30),2023-11-12 02:29:00,맑음
"만두국, 참치김밥, 멸치주먹밥, 참치순두부찌개, 날치알주먹밥, 소고기주먹밥",31000,남(46) 남(43) 여(25) 남(54) 남(31),2023-06-07 20:52:00,맑음
"소고기주먹밥, 소고기주먹밥, 얼큰해물우동, 떡만두국",24500,여(29) 여(30) 여(30) 남(29),2023-04-19 07:43:00,맑음
"김치볶음밥, 소고기김밥, 계란말이김밥, 비빔밥, 비빔밥, 오므라이스",38500,여(34) 남(18) 남(44) 남(12) 남(11),2024-03-16 18:08:00,맑음
"참치순두부찌개, 새우볶음밥, 순두부찌개, 날치알주먹밥",25500,남(13) 남(50) 남(40) 남(40),2024-01-18 03:17:00,맑음
오뎅,4500,여(56),2024-10-09 02:24:00,맑음
"날치알김밥, 참치와사비김밥",10000,남(43) 여(38),2024-04-07 16:02:00,맑음
"참치주먹밥, 고구마돈까스, 소고기주먹밥, 뚝배기불고기, 참치와사비김밥",30500,남(44) 여(53) 남(59) 여(16),2023-12-20 11:10:00,눈
"참치주먹밥, 참치김밥, 참치김밥, 오뎅",17500,여(22) 여(53) 남(23),2024-10-20 04:58:00,흐림
"새우튀김김밥, 치즈라볶이, 얼큰해물우동, 날으는 김밥",23000,여(27) 여(57) 여(24) 남(46),2024-02-02 05:20:00,흐림
"참치김밥, 만두라면, 떡만두국, 김치찌개",25000,남(41) 남(33) 남(47),2023-04-08 03:15:00,맑음
"순두부찌개, 떡만두국, 날치알주먹밥, 잔치국수, 참치찌개",33000,여(26) 여(59) 남(36) 남(11) 남(47),2023-10-02 22:20:00,흐림
"고기만두, 돈까스김밥, 제육덮밥, 순두부찌개",23000,남(13) 여(48) 남(19) 여(56),2024-06-29 09:07:00,맑음
"김치만두, 콩국수, 참치비빔밥, 치즈김밥, 날치알주먹밥, 만두국",35000,여(24) 여(22) 여(58) 여(39) 여(38),2023-12-10 19:29:00,흐림
"날으는 김밥, 소고기주먹밥",7500,남(20),2023-11-09 04:45:00,비
"날으는 김밥, 소고기김밥, 떡국",15500,여(11) 여(54) 남(56),2024-01-24 05:55:00,비
"날치알주먹밥, 만두라면, 비빔국수, 돈까스김밥, 얼큰해물우동, 순두부찌개",37000,여(42) 남(41) 남(51) 남(34) 여(10),2024-08-02 10:18:00,맑음
"소고기주먹밥, 만두국, 오징어덮밥, 비빔밥",26000,남(50) 여(16) 남(56),2024-04-22 10:54:00,맑음
"뚝배기불고기, 참치비빔밥, 부대찌개",23500,남(35) 남(14) 남(46),2023-08-19 10:12:00,맑음
"날치알주먹밥, 고기만두, 소고기주먹밥, 오뎅",16500,남(18) 여(40) 남(44) 남(57),2024-05-10 19:26:00,맑음
"된장찌개, 만두국, 김치찌개, 소고기주먹밥",25000,남(56) 남(17) 남(49),2023-05-19 20:34:00,맑음
"된장찌개, 소고기주먹밥, 멸치주먹밥, 만두국",22000,남(23) 여(57) 여(45) 여(17),2023-12-12 14:14:00,맑음
"날치알주먹밥, 날으는 김밥, 육개장, 김치볶음밥, 생선까스, 날치알주먹밥",36000,여(26) 여(55) 여(17) 남(20) 남(27),2024-02-11 13:05:00,맑음
"참치김밥, 치즈떡볶이",10000,남(48),2023-06-10 17:18:00,맑음
"돈까스, 날으는 김밥, 김치라면, 생선까스",28000,여(25) 남(56) 남(47) 여(50),2024-02-29 15:20:00,흐림
"라볶이, 만두국, 쫄면",19000,여(57) 남(45) 남(31),2024-10-31 09:08:00,맑음
"멸치주먹밥, 비빔국수, 비빔국수, 김치만두",22000,남(14) 여(27) 남(48),2024-08-19 09:07:00,맑음
"떡볶이, 계란말이김밥, 된장찌개",17000,남(48) 남(13),2023-09-24 20:17:00,맑음
"뚝배기불고기, 소고기김밥, 군만두, 생선까스",26500,여(14) 남(59) 여(51),2023-12-31 16:09:00,눈
"떡라면, 참치비빔밥, 김치만두",17000,남(60) 남(19),2023-08-18 03:22:00,맑음
"새우볶음밥, 참치주먹밥",11000,여(21) 남(35),2023-09-20 11:07:00,맑음
"뚝배기불고기, 부대찌개, 참치찌개, 날치알김밥, 돈까스, 치즈돈까스",47000,여(58) 여(28) 남(31) 여(29) 남(16),2023-07-23 16:03:00,맑음
"참치순두부찌개, 제육덮밥, 라볶이, 참치순두부찌개, 새우튀김김밥",32000,남(56) 여(26) 남(47) 남(17),2023-05-14 03:47:00,맑음
"고기만두, 된장찌개",11000,남(41) 여(12),2023-10-01 17:31:00,맑음
"생선까스, 참치와사비김밥, 참치찌개",21500,남(41) 여(33),2023-04-16 06:59:00,맑음
"날치알주먹밥, 라면, 치즈떡볶이, 멸치주먹밥, 부대찌개",26000,남(14) 남(39) 남(39) 남(48),2024-04-11 10:11:00,흐림
고기만두,4000,여(18),2024-05-26 18:48:00,맑음
"뚝배기불고기, 새우볶음밥, 새우볶음밥, 얼큰해물우동, 떡만두국",38500,남(21) 남(21) 남(27) 여(27) 여(24),2024-03-02 20:05:00,흐림
"김치찌개, 오므라이스, 참치와사비김밥",19000,남(33) 남(59),2024-09-29 03:12:00,흐림
"땡초진미김밥, 치즈김밥",9500,여(35),2024-08-14 19:47:00,맑음
"순두부찌개, 소고기김밥, 참치순두부찌개",19500,여(23) 여(59),2023-11-28 22:29:00,맑음
"비빔밥, 부대찌개, 참치비빔밥, 순두부찌개, 비빔밥",36500,여(12) 남(19) 여(53) 여(43),2023-12-10 12:39:00,맑음
"김치라면, 잔치국수, 멸치주먹밥, 우동, 소고기주먹밥, 잔치국수",33500,남(22) 여(15) 여(14) 여(58) 남(47),2023-11-11 15:55:00,맑음
"생선까스, 돈까스김밥",14500,여(28),2023-12-09 02:54:00,흐림
"참치비빔밥, 돈까스, 치즈김밥, 된장찌개, 소고기김밥",33500,남(45) 남(29) 남(19) 남(20) 남(13),2023-04-14 17:20:00,맑음
"멸치주먹밥, 새우튀김김밥, 멸치주먹밥",13000,남(17) 남(37),2023-10-23 16:28:00,맑음
김치찌개,7000,남(32),2024-09-25 15:45:00,흐림
"만두라면, 순두부찌개, 오뎅, 부대찌개, 라볶이, 소고기김밥",35000,남(23) 여(16) 남(56) 여(32) 남(55),2023-09-29 07:13:00,맑음
"참치순두부찌개, 김치찌개, 부대찌개, 멸치주먹밥, 콩국수, 만두국",41500,남(12) 여(18) 남(47) 여(29) 여(24),2024-05-30 10:28:00,맑음
"소고기김밥, 우동, 새우튀김김밥, 얼큰해물라면",24500,여(47) 여(59) 여(29),2024-07-03 07:24:00,맑음
"계란말이김밥, 뚝배기불고기, 비빔국수, 참치비빔밥",28000,여(45) 남(49) 남(32) 여(19),2023-12-09 12:39:00,맑음
