단어,빈도
제7,1
06일,2
600명대,2
38기,5
630명,2
768만,4
1093호,1
YMA오케스트라,1
1890만,5
1870만,5
529가구,7
JW그룹,5
JW과천사옥,1
24호,1
37호,1
3리,2
5.4건,1
1.028명,2
1655만,1
A병원,5
1과,8
20일자,6
관로관리1,4
2.6명,6
2.7명,2
1~2등,1
3일치,1
3500원,9
203동,1
205동,1
6164명,1
56.9명,1
4842명,1
20차례,13
90여종,2
SNS방송,1
1931~2021년,1
1791년,1
148년,1
123채,6
9286만,1
3342만,1
1087만,1
783.7평,1
950건,7
6.7명,2
5.6명,9
12~14일,3
3300여만,2
390여만,1
491세대,1
465세대,1
3674명,1
588곳,4
8블록,1
5~6개월,1
1063평,2
270개,4
4590명,5
353만,1
30000명,1
567억,5
634건,5
5.9명,3
4.5명,7
0.5명,3
10.9명,6
8.3명,7
976억,5
5411대,1
1768명,3
99석,1
112석,1
76석,1
7492억,1
7345억,1
7643억,1
SRT수서역,6
10오버,1
82타,1
132위,1
180가정,2
60시간,4
326호국,1
LH사업,1
329곳,1
3279억,10
5020억,6
4603억,6
4251억,6
1892억,8
100여개,11
10송이,1
CJ그룹,13
638톤,5
360여개,1
100~300병,1
300병상,1
9909명,1
8939명,1
350개,3
1시대,1
별표1,12
1138명,3
3775명,1
153조,6
800달러,5
7500원,5
253만,4
1596만,12
7248가구다,1
1025가구,1
3714가구,2
4070가구,1
3850가구,4
6507가구,1
2909가구,1
3500개,3
용인10,6
용인7,6
666.79점,4
536.6점,3
1~6학년,2
산물벼750,1
VI자산운용,1
52조,2
527억,4
3870명,7
3320명,3
3083명,4
산7-1번지,1
N번방,8
1886만,1
19진단,1
317마리,1
135마리,1
1~7시,3
291곳,1
4500원,6
264개소,2
sk반도체클러스터,4
4~6차로,1
AI특별방역대책기간,2
AI항원,3
AI특별방역대책,1
593억,3
9920원,1
5580원,1
1090원,1
362만,1
원43,1
246만,12
267번,2
6~8개월,4
267마리,6
70마리,5
336가구,4
311가구,3
684가구,2
619가구,7
416가구,6
15곡,1
1228만,1
2642명,1
종로2,1
3869억,4
6000매,9
8177평,10
LPG차량,5
31대,2
005명,3
541가구,1
971가구,1
917가구,3
377가구,2
143가구,2
196가구,3
879가구,1
GA퓨처밸리,1
7석,5
19평,1
흥덕IC,5
신길IC,1
460평,1
4주간,2
100포대,1
ING생명,1
YES팀,4
A피고인,2
B피고인,1
289번,3
290번,1
291번,1
285번,2
287번,3
288번,1
286번,1
284번,1
283번,1
272번,1
281번,1
271번,1
CMS에듀,1
58종,2
2019년도,16
0.5회,1
G상가,1
4664가구,1
2443가구,1
1933가구,2
520가구,2
18분대,1
1734가구,2
4200가구,1
1984가구,1
1018만,1
1326만,2
1189만,1
20여마리,1
B구역,2
48년,3
8부,2
2200명,4
1~4순위,1
26점,1
12리바운드,1
1~5라운드,3
8천억,7
10.12골프장,1
434만,7
228실,2
5195만,1
827건,2
752건,3
8221건,1
183개소,1
27개소,1
180석,7
453.8명,1
117건,6
282타,3
211타,1
1934대,1
183가구,5
8566건,1
8078건,1
3186건,1
1233건,1
3715건,2
n차감염,2
974호,1
26.14점,1
27.26점,1
332곳,4
122곳,7
296쪽,1
278세대,1
87세대,1
2754건,2
31.66대,2
115개,6
973가구,2
6735가구,1
055가구,1
343가구,1
190가구,4
461가구,2
437세대,16
1~3위,21
24팀,1
64팀,1
10승,6
1무,6
1회전,3
고성FC,1
32강,7
47조,8
1900호,2
Km구간,1
132건,11
3~60일,3
4~7일,5
5~10일,10
3~10월,5
3800여명,2
R&D기업,1
상현1,5
68개국,3
1110번지,1
404번,2
봉담1,3
49.5세,2
1342만,2
22~32도,1
590만,8
2045년,6
R&D단지,22
100부,5
10.5대,3
18.9대,2
5174명,2
4896명,1
100~300명,2
2471명,1
르망24,1
뉘르부르크링24,1
1~4층,2
1123만,1
924만,3
347세대,2
371세대,2
190세대,2
8세대,4
침실2,2
3~4학년,1
388명,7
0.7명,17
890평,2
897평,1
182평,1
115평,1
388개,6
19~39세,4
15.15대,1
4.62대,1
6642명,1
31.93대,1
9251가구,1
AI무인판매기,2
4룸,3
HEPA필터,2
8터치,1
7.3초,1
5210만,1
0.31명,5
0.38명,4
0.40명,3
0.45명,3
0.48명,3
0.52명,3
4900명,4
4800명,6
4400명,4
3체급,4
10장,12
3311명,1
3246명,1
2800명,4
33인,2
685만,2
I예식장,6
C예식장,1
IT밸리,1
369번,3
1639명,4
8178억,1
5796억,1
502억,1
5013억,1
327억,2
3440억,1
8~9개월,1
1423년,6
2~4위,3
SDB인베스트먼트,1
47시간,4
7117억,2
509만,1
16여,2
49년,5
LX공사,51
619억,13
LX서울지역본부,9
005건,1
974건,1
693건,1
7~14일,5
클럽MD,2
5000여점,1
4~8월,1
30~40년,3
1로,2
3470건,5
558만,3
436만,2
1968만,6
386개,1
자동2,12
자동3,6
상가9.돼지복권슈퍼,1
772만,1
683원,1
633원,1
IB부문,8
PCR검사,10
서수지TG,3
노트북PC,3
4699가구,1
대비622,1
코로나18,1
169농가,2
2141억,4
621억,3
1650억,3
2700억,3
2088억,2
7종목,1
9볼,1
10볼,1
733명,3
2028명,2
308억,2
256억,6
3300가구,1
8083가구,1
7819가구,1
7458가구,1
GTX발,2
OO역,2
141가구,1
KTX강릉역,2
2729곳,1
2일장,3
1352만,2
1969만,2
1065만,2
1544만,2
1567만,2
1702만,2
1257만,1
1731만,1
1070만,1
1473만,1
1648만,1
2265만,2
976만,2
1341만,1
746만,2
1011만,2
1917만,1
2591만,1
3성,2
충북RCY,1
534대,4
CHC본부장,8
1500곳,2
127번,1
257개,2
300미터,1
OO보건소,1
1000~1500건,1
772점,1
818점,1
60마리,2
100페이지,3
1~2시,4
1800여억,1
30쪽,1
170채,1
3700억,6
2870억,2
지난달1,1
1209번지,1
0.7포인트,1
644건,3
627건,2
넥스트브이시티PFV,1
SM삼환기업,1
1540여,7
당진2,1
117곳,3
2941건,1
6~8월,4
213동,1
1600기,1
700기,1
1000기,2
500장,3
464개,1
4424가구,1
5파전,3
7722원,2
10월포천,2
2가량,11
270두,3
116세대,1
052세대,1
842세대,1
927세대,2
A원장,4
4082명,2
TV컷,3
MBN스타,6
1601년,3
1583년,1
38살,2
1568년,1
1572년,1
1589년,1
1597년,1
1607년,1
1652년,1
1669년,1
1606년,1
1602년,1
1610년,1
1387대,1
205호,1
1040원,1
6880원,1
한국PCB&반도체패키징산업협회,1
880만,4
231만,3
GH경기도수원특례시,2
2판,7
208세대,1
5백,15
자동차365,19
775대로,1
740대,1
791대,2
919만,17
2353개,1
910만,8
181만,2
991억,5
5.24종목,3
5454주,3
243억,5
11.4억주,1
8.3억주,1
277개,1
356만,6
796개,2
522개,1
231개,1
3자리,6
DS오토모빌,1
1513명,1
1255명,3
3580억,1
4720억,1
8645억,1
5연승,5
3홀,3
TF팀장,5
단체4,1
840여억,2
338실,1
637실,1
2813가구,1
1974대,5
74대,10
391대,5
575대,4
1583대,4
492대,4
442개,1
1676가구,4
335가구,3
2.28기념,2
LH경기지역본부,7
37개소,6
1~3단계,3
1355명,4
846곳,1
481곳,3
6380명,1
5860명,1
2200여,8
245만,4
3.21대,1
1127명,4
F형,2
740석,1
스마트e,1
통삼2,1
145동,1
144세대,1
16동,2
129동,1
126동,1
K컬처,7
9수,1
8경,4
2경,1
99가구,11
48개,34
2940가구,2
5576가구,2
13단지,12
4260가구,2
3381가구,2
3540가구,2
1981가구,2
471가구,1
33살,8
562조,8
24점,4
4강서,1
GS경수클럽,1
6촌,1
397억,2
582억,1
006억,1
1.5원,1
0.7원,1
9.9명,2
NHN엔터프라이즈,1
SK브로드밴드,1
450여명,3
1600명,7
150여만,1
180여만,1
8주년,1
8662세대,1
6252가구,3
8178가구,1
5492가구,1
61가구,4
IM선교학교발,1
370.9명,1
264.9명,2
399.4명,1
158.5대,1
3588명,1
6200억,1
어스2,1
33개소,2
3.1배,3
31가구,4
3438명,2
818명,7
6~7일,3
20학번,1
18민주,7
21장,1
KB캐피탈,10
KB차차차,2
KB프렌즈상사,2
25자,2
19자,1
18자,1
9.86자,1
40자,1
50자,7
255자,1
15자,1
16자,1
12자,1
SK뷰,4
82회,5
678실,1
990명,6
1000~1499가구,2
87가구,4
47가구,6
2739가구,3
1581가구,3
1231가구,2
270야드,1
11.22일,1
12.20일,1
12.26일,1
50~70년대,1
15기,8
1500년,5
477억,2
A민간임대아파트,1
A단지,4
B단지,2
C단지,1
286대,1
187대,1
440가구,4
LED전광판,3
1300톤,4
2500톤,2
ESG팀장,3
1174~1178번,1
1174~1177번,1
45도,2
6141번,1
6372명,4
5790번,1
38.6명,2
35.6명,2
반도체AI,1
6526건,2
3481건,2
1296건,2
12배,5
ZNGROW팀,1
8.350점,4
7.900점,1
7.800점,2
1288만,1
787만,1
2~3위,1
33사,1
230마력,3
EV모드,2
36본,2
N행시,1
3매,4
12매,3
6매,2
길79,1
1680만,4
735만,2
896명,1
694명,1
357억,1
지식산업센터114,3
2562만,1
249표,1
853만,2
1203만,1
137척,1
84대,2
36일,4
대출48,1
A지점,3
B개발업체,1
C은행,1
PF대출,7
4~5세기,1
11~12세기,1
16살,2
49점,4
SCK컴퍼니,1
GTX-A역,2
5100만,10
대만TSMC,1
45~75일,3
260여개,3
4936개관,1
2893개관,1
2251개,1
6448개,1
GH사옥,1
4182억,1
MK이슈,4
AI지킴이,5
300가구,25
194억,19
552건,8
243건,10
659건,6
353건,7
1600개,2
A지자체,3
608점,2
H사일런트,7
H사일런트랩,1
PC라멘조,1
3718가구,1
3535가구,1
D플레이스,1
퀸즈W,1
4.9배,5
4.2배,4
7~9시,9
8충,1
552.9톤,1
360톤,1
912.9톤,1
837만,3
468만,1
862평,1
4평,2
1.3평,1
70.9평,1
LH측,8
1154원,1
D아파트,3
1541원,1
273대,2
165.8대,1
38도,15
37도,5
8000건,6
D병원,1
더트루엘마곡HQ,10
58.7대,2
1604대,2
126.6대,3
35.2대,2
1311억,1
4786가구,5
711명,2
444만,3
2858가구,4
604기,1
700~800기,1
북청계IC,2
경기광주JCT,2
4판,3
OK소리,2
11.7점,3
9.7점,3
9달,4
42.3점,4
185가구,4
7782억,1
1992가구,1
1잔,3
70년대,5
빅4,4
989명,8
7275명,1
3475명,1
313점,1
355점,1
5관왕,1
초20,1
초50,2
초02,1
21초,1
29초,2
초25,1
초95,2
초75,5
58초,2
초06,1
529억,5
607곳,1
2400명,6
30독립운동,1
산70-3번지,1
세현CC,27
718곳,1
2016~2021년,1
17시즌,1
2009시즌,1
2007겨울,1
2013시즌,1
500미터,6
4교시,3
5교시,2
7교시,1
5교,1
450조,5
4공장,3
5공장,2
2라,1
2509곳,1
2용인테크노밸리,1
Y건설사,2
DX부문,4
1권,15
100자,6
1929년,6
2직,1
3직급,1
1직,1
2636억,1
94세,1
8남매,1
3030세대,3
23순위,2
12차,3
17잔,1
조앤K,1
100번,6
104곳,7
123곳,1
2350여만,2
7100억,8
940명,2
79회,1
t급,3
2365억,1
76억,8
304명,11
27안건,1
360필지,1
1300석,2
23종,3
021억,1
270여,8
반도유보라아이비파3.0,1
87대,2
543대,2
10종류,2
4609대,2
1017개,3
445면,1
1560억,4
4주구,3
H시리즈,4
3036억,2
4160억,3
9할,1
100층,1
1821~1846년,2
8실,4
314가구,2
970가구,7
5958건,1
889건,3
582건,1
2178건,1
1632건,1
4089건,1
3216건,1
6167건,1
2172건,2
3220여명,1
601만,2
865개소,14
440원,2
1년도,1
45달러,1
1000여평,1
타이거JK,2
3620원,1
387곳,2
A여객회사,2
3~8배,1
B여객회사,1
209억,11
275곳,3
1237억,2
AI팩,1
10~15곳,1
617만,4
5564명,4
6호실,1
316개,2
SK주유소,1
2469길,1
201호,2
1~2위,8
죽전3,3
6패,1
437번,2
446번,4
5515억,1
856억,2
1229억,1
4501억,3
2865억,2
1024억,2
1881억,2
1484억,1
4600억,2
504억,3
1906억,3
1813억,3
731억,3
4246억,3
5554억,2
933억,2
161억,13
2970가구,2
360가구,5
313가구,1
195가구,2
2146가구,1
788가구,2
206가구,3
200도,4
7288명,1
926명,1
2946명,1
364조,2
6팀,4
4.25개소,1
2.6개소,1
증평IC,12
북청주IC,13
IC명칭,1
200병상,1
빅5,7
4.0명,1
WA주,3
34시간,3
138분,9
1830만,2
레이EV,4
52살,1
68가구,6
5689가구,2
5757가구,2
4595가구,2
1162가구,1
23가구,7
2071가구,1
광주첨단3,1
1845가구,1
970세대,1
406번,3
128세대,2
289건,1
050원,6
343대,2
105조,3
293만,2
287만,1
066원,1
840원,3
737원,2
670원,2
153원,1
355원,1
030원,1
425원,1
003원,1
035억,1
372억,1
600마리,3
SSG창단,1
60구,1
4800본,1
4요소,4
701만,2
079만,1
623만,1
026만,1
18필지,2
11필,1
2022~23시즌,4
90자,1
MEG앙상블,1
9초,4
14~15일,4
959필지,3
3894필지,3
2안,8
58대,5
88회,6
2300여석,2
337회,3
145회,3
R&D첨단산업,1
연천BIX,1
2299명,5
5857명,4
6315명,3
2행정,1
445개,3
442만,3
2131만,2
2064만,1
라운지31,1
5~7살,1
16가지,3
9필지,1
120가구,11
HJ중공업,20
1345억,5
60개월,11
5835가구,1
4011가구,1
4891만,2
2017~2021년,4
3행시,4
16세,12
2017~2022년,2
3.18명,1
9300만,2
8250명,1
8329명,1
1180번지,2
2018~2021년,1
2024~2027년,1
150그루,2
3400명,2
30사단,8
GTA-A노선,3
1~5등급,2
ATM기,7
W은행,1
830건,6
694건,3
40개소,2
379건,2
ICT기술,3
1518억,1
830만,2
27.63배,1
5800억,3
44.37배,1
19.93배,1
19.61배,1
26.6배,1
278타,4
PGA투어,5
PGA챔피언십,1
955점,1
590점,1
16계단,1
1605점,1
1515점,1
1445점,1
10여채,1
655개,1
7.9배,1
852.5명,1
843.9명,1
806.6명,1
251.1명,1
231곳,3
283.2명,1
285.1명,1
173곳,1
354.9명,1
362.7명,1
지역의료TF,1
4위로,1
110년,4
416억,3
111회,2
50~60주,3
부산CC,4
1060명,3
1지구,7
1370여명,1
4915명,1
977명,1
624명,4
955명,3
558명,6
상담지원AI,2
3~9일,1
136억,5
74실,6
60실,6
30실,6
15실,9
SY소프트,1
450대,3
2898억,1
589억,1
965억,1
1분과,1
2분과,1
랜선집사305,1
신양재IC,4
576만,2
896만,2
915억,4
430번,2
428번,1
1벌,5
4433개,2
2173만,2
e포인트,2
2021~2030년,4
9300개,2
9300여개,4
11~18세,3
7주기,1
3범,1
483평,3
39개국,4
200미터,1
70선,2
80선,2
0.4포인트,1
2.0포인트,1
HB인베스트먼트,5
SV인베스트먼트,1
2014에이치비,2
866억,1
22일백,1
4200명,13
5155억,11
473억,10
743명,3
708명,3
486명,6
36살,3
M교회,4
3003명,1
1223명,3
554건,1
919건,1
826건,2
기흥3.30독립,1
기흥3.30독립운동,2
660조,1
400대,4
976세대,6
2외곽,2
2359대,5
100여대,2
873가구,3
1006가구,2
2348가구,1
25~28세,3
5381만,2
11길,5
200주,3
187만,5
205번지,1
6268명,4
IS테크놀로지,8
SC솔루션,7
81억,8
72개,8
1133명,2
1308명,1
1184명,4
1417명,2
1508명,3
1841명,2
8724건,1
1288명,5
308곳,2
54돌,1
54주년,2
46파이,4
ESG녹색채권,1
2894만,1
유성IC,1
2~3회,7
7248건,1
170기,1
100여권,3
8000여대,1
3000여대,1
1인실,8
2인실,3
11.7명,1
5.1명,1
260야드,1
김민선5,1
3축,13
8784가구,1
7162가구,1
2721가구,1
7130가구,1
9568건,1
9222건,1
7558건,1
1744가구,4
768가구,3
40살,2
313억,4
2116억,3
1803억,1
1131억,1
5028원,1
5318명,1
HD현대중공업,2
파71,4
7126명,2
1844명,1
1476만,2
5134만,3
얀센3,1
7530건,1
KB스타즈,4
초17,1
4초,3
732만,4
562가구,1
108가구,5
6756만,1
4036만,1
3002만,1
7407만,3
146건,4
8443표,3
476표,1
3078표,5
9402표,1
722만,1
703번지,2
3700명,4
A블럭,5
B블럭,6
C블럭,3
GV형,5
6250가구,3
6047가구,3
연합1970,1
산37-16,6
872번지,3
2030대,3
5531만,1
622건,4
6~7개월,7
제86,2
1949년,3
200여종,3
51여만,1
795만,3
136곳,2
4053곳,1
KB월간주택가격동향,1
4620가구,1
9419가구,1
2199만,1
1833만,1
C업소,2
999억,2
2146억,1
1563억,1
795세대,1
4.0사업,1
3372명,1
556만,3
HB마크,2
4~12세,2
택1,2
108배,2
590가구,2
15~59세,1
7554원,2
3006명,1
60~120일,1
B목사,3
5150가구,2
938번,6
500평,1
8696가구,1
3.4배,8
1792가구,4
753가구,5
89번,6
30종류,1
신봉1,5
347번,1
ha규모,1
BJ임블리,3
NS홈쇼핑,10
AI페퍼스,29
80여개소,1
8~15건,1
4754억,1
2900억,4
6020억,1
8.6세대,2
10~16인치,1
아이폰X,1
2계단,1
706세대,6
1.3부,5
엔비디아NVIDIA,2
6편,3
경제도OK,1
4구,4
927명,2
753억,2
1114가구,2
2씩,2
중부IC,1
1573곳,1
0.5마일,1
1374대,1
1016대,1
1530개,1
6~7곳,1
6798곳,1
제보자X,3
1915곳,1
984억,4
0.02명,1
2974명,3
480여,2
슈퍼스타G,1
시니어슈퍼스타G,1
3858건,1
247건,3
4064건,1
810건,2
1227건,1
5976억,2
2286억,3
2820억,3
830억,6
8426억,3
820억,8
1061억,3
9973억,3
3764억,3
247억,6
81세,3
70여만,4
9~12월,3
505항공,2
3보,2
392점,2
438번,4
739억,4
1661억,2
AI해커톤,1
665번,1
8백,4
412개,1
1052개,1
2435만,4
3155만,3
2626만,2
3346만,3
2857만,4
3467만,6
2015~2022년,1
2236명,3
3300년,1
5000년,4
5300년,1
70구,1
22~24일,2
14~20일,4
832명,5
620밀리미터,1
600밀리미터,1
381억,2
10군데,3
국지도7,1
682여,1
최대50,2
3556만,1
4425만,1
8728명,1
4674명,1
9783명,1
500마리,6
IT업계,2
CLS지회,3
3나노미터,3
7200억,3
60여개,7
628억,5
591억,2
523억,5
681번지,1
한남IC,6
SK반도체,4
670여종,1
1100억,7
870억,2
CJ더마켓,5
동원F&B,1
18.5살,1
689점,1
1127건,4
1970~1980년,1
2016다,1
605평,3
2327가구,3
809곳,1
1135가구,1
1501가구,1
서인천IC,2
2030년도,2
1담당,5
삼일PwC,2
평화1,1
160호,4
3497억,1
7000여억,2
80킬로그램,1
오세훈TV,1
9500여,2
10~18도,1
21~26도,1
10여분,17
3~4회,2
19살,5
49살,3
10가지,14
O반,5
5배가량,2
3140명,2
750자루,1
3153억,3
14번지,2
287개,2
만족17,2
1171명,7
1154명,1
234명,5
300여종,1
5871명,4
3082만,1
1811만,1
538가구,1
315가구,4
503가구,1
1844년,2
S모,2
G모,2
D모,1
GG사,2
81년,2
1942년,4
61.5점,4
47.1점,4
50.4점,4
15분대,9
5000~7000원,1
962곳,1
535곳,1
8357명,1
1978년,7
238곳,4
2284개,1
5783개,1
6965개,1
2471개,1
1896개,1
5816개,1
4491개,1
ATM기기,3
7757개,1
TNT타임,2
17실,3
5015가구,3
9031가구,1
8099가구,1
7122가구,1
1칸,2
3000석,1
1875만,2
1598만,1
2603만,2
2205만,1
1913만,1
195만,4
2108만,2
7000헥타르,1
전담TF,1
5쌍,3
1662년,6
1806년,5
41점,5
IT경제전문가,1
LB세미콘,1
764억,1
9317억,1
20~30명,4
726그루,1
347억,4
LPG차,9
500실,3
R&I센터,5
350여억,2
964명,6
126일,2
8~9세,1
스마트TV,2
230년,1
8~9명,3
1937년,2
2026여수,1
4700여,1
6시로,1
23~4년,1
B마트,3
490억,3
삼계2,2
38세,5
광명1,5
475건,2
701건,3
114곳,7
103곳,7
470호,1
74호,2
4~6세기,1
59기,1
2000여점,1
32채널,4
EV충전,2
6102개,2
309개,3
WM센터,2
928만,2
787명,9
6324건,2
3442건,5
2촌,1
405만,3
1350만,8
15000원,5
3223억,9
193가구,6
12.71대,1
148세대,1
3850세대,1
4154세대,1
3~4베,1
7200여만,4
중리IC,5
088억,1
6257건,2
6596건,1
6435건,1
6~8위,1
3853명,1
4611명,5
862가구,1
209가구,1
146가구,5
205가구,4
045가구,2
10.1포인트,1
90여억,1
2333가구,6
1701가구,1
2490가구,2
2170가구,3
1823가구,2
1195가구,4
2022경기,4
999만,1
731만,3
585만,2
537.08대,2
동천동855-2,1
750시간,3
600시간,3
90회,5
240시간,3
GH경가주택공사,1
GH경기주택공사,1
757천,1
2024~2028년,2
159개,4
176개,1
주성R&D센터,2
7할,1
100만큼,2
150만큼,1
US오픈,3
700평,4
280주,4
52톤,1
민팃ATM,1
IT기기,5
912세대,3
5423원,1
16부,1
1안,5
2.9대,1
2.4대,2
LH발,2
트래블쇼2024,1
1~2학년,3
142개,5
863.9명,1
508건,2
945명,2
891명,3
662명,3
152만,5
937명,4
55주,1
5712건,1
1520건,1
22시즌,3
853건,3
A과,2
175건,6
2007~09년,1
2015~19년,1
20~50대,2
807곳,1
142곳,1
406곳,1
410번,1
411번,1
26.5도,1
25.7도,1
25.6도,1
25.5도,1
26.2도,1
27.1도,1
25.1도,1
23.4도,1
23.3도,2
22~28도,1
25~34도,2
102세대,2
3~6학년,3
19호,8
265번,1
60~61세,7
124곳,1
2456억,2
CB발행,2
580억,3
599표,1
248세대,3
198세대,3
124세대,3
세메스R&D,2
6288명,1
2408명,1
6615명,1
3429명,1
7747명,1
9672명,1
1590명,1
7741명,1
1596명,1
5991세대,1
6804세대,1
6885세대,1
2070원,6
33일,9
4.40원,1
2073.0원,1
5.41원,1
2073.4원,1
2064.59원,1
110달러,1
126건,5
181점,3
1812만,3
105포,2
주성ENG,1
용인R&amp,1
8000평,1
3005개,1
4766억,1
1103호,3
SK하이닉스유치,8
1984년도,1
4300여,7
197건,3
679억,1
300백만,1
15배,7
청년TF,2
2000~3000명,1
1827명,1
1130명,1
5451명,1
140여필지,1
23필지,2
2070년,2
2700년,2
1대학,2
LH임대아파트,2
119아이,2
335곳,5
60~70퍼센트,1
248건,6
7000개,5
67.9포인트,1
충TV,1
9400여,1
팹18,2
6938장,1
3.24배,1
팹2,2
0.45마이크로미터,1
팹3,1
팹6,2
팹11,1
6라인,1
7라인,1
90나노,1
40나노,1
팹15,2
팹14,2
팹12,2
팹20,2
팹16,1
1탄,2
칩4,5
53조,2
팹23,1
10~20나노,1
2탄,5
15주,7
MG새마을금고중앙회,1
ADT캡스,1
67위,1
30.98개,1
8684만,1
3.3초,2
13~17일,3
11~15일,2
25~29일,2
119대,4
98일,5
3842가구,1
1143가구,1
2074가구,1
1073가구,1
1335가구,1
864가구,1
1139명,1
0.38대,2
8478가구,1
5066가구,1
4762가구,1
3179가구,1
3051가구,1
5775가구,1
8184가구,1
6489가구,1
1~3단지,4
409명,4
831명,4
772건,2
572건,7
4474만,1
50큐비트,1
1000큐비트,1
41박스,1
200박스,5
1000여만,1
형사3-2부,5
702대,7
2686건,2
13구역,2
5900억,4
이수진3,6
2582명,4
2387명,1
602명,4
454명,9
2451명,1
3092명,1
1352명,2
1757명,1
5.4배,2
2304주,1
LH임대주택,1
32마리,4
2024지방,1
NH농협창구,2
2011대,1
2014인천아시아,1
2015광주,1
1259석,1
92.1명,1
107개,2
E조,3
2819개,2
429실,5
760평,1
6표,1
제25,1
LX비상경영혁신위,1
3183건,1
1500여대,1
9047가구,2
70여일,7
106점,3
94점,3
32번,5
118일,4
MOS마스터,1
6097명,1
1362명,1
자동차공장2,3
1956명,1
1815명,1
970만,4
143건,2
943건,2
1289억,2
17.69대,1
1499억,4
GTX시민연대,10
100평,7
030명,2
SAR아카데미,2
1753가구,2
4589억,2
4436건,3
4369건,5
5600건,2
6형,4
길2-6,1
금품2,1
491번,4
길86,2
640번,2
36.4도,1
27도,4
4세트,3
1~3세트,1
1세트,7
2세트,4
평택진위FC,2
20강,1
4구장,10
부산FC,3
기장FC,6
1~4구장,2
동명FC,5
평택JFC,2
FC광명시민,2
양주브레멘FC,1
평택FC,2
2연승,4
303일,1
121개,3
81조,5
7~13일,2
651번지,1
755가구,1
16골,1
8강행,2
침실4,1
30롤,1
74강좌,2
14강좌,2
30강좌,2
55점,13
9658세대,3
8025원,4
2329톤,3
5934그루,3
2966명,1
2950명,1
482번,3
2953번,1
2955번,1
2859번,1
2956번,1
2957번,1
2958번,1
2936번,1
2959번,1
2822번,1
2960번,1
2961번,1
2962번,1
2963번,1
2964번,1
2835번,1
2965번,1
1884번,1
2966번,1
40~45석,2
6000여석,2
1100여만,2
SMRC클럽,1
김종연PD,1
5140만,2
7000가구,2
26~27일,4
11번지,13
397대,5
15학급,1
A요양병원,6
5283가구,4
7경기,4
6골,2
466만,1
7686개,1
1000~2000명,1
200여병상,1
656건,1
500~600건,3
1288세대,3
1982건,1
1923건,4
2870건,1
2708건,1
762건,1
1191건,1
413건,3
236건,4
1600여만,1
4500주,5
1~10위,2
LPG소형저장탱크,2
SG레일,3
566면,4
826명,3
SK탄소감축인증센터,2
6개시,1
72년,5
240여억,2
337팀,1
100주,4
8500원,2
268건,1
향남1,1
44.6세,2
5.8세,2
6~8급,1
LH공사,8
80~200가구,1
세교1,8
698명,2
85개소,3
316억,15
480곳,5
한문철TV,7
533개,1
15~20마리,1
65포곡읍,1
CBS배,4
2017시즌,2
34회,5
107개소,1
5.7배,2
PD수첩,3
매부리TV,3
46세,1
922가구,3
48.5대,1
334가구,1
365대,3
15면,4
SK등,2
514조,5
189조,5
6400여,1
1671명,1
88세다,1
174가구,6
625버스킹,1
7800명,1
N차감염,1
K방역,3
9900원,4
7300평,1
1475세대,2
증평IC&,1
북청주IC&,1
오창IC,1
1842명,2
2~3게임,1
20~23일,1
SK렌터카,4
1519명,2
1526명,1
1509명,7
2155명,2
1003명,1
233대,8
154대,9
95일,1
30~40분,6
776명,1
2100여,4
3.2배,2
SW강좌,3
66일,6
6059만,2
8356만,4
8517만,3
대전IEM,1
광주TCS,1
323명,6
841명,7
TCS에이스국제학교,6
G-TCS국제학교,1
TCS교사들,1
6229명,1
1394명,1
6429명,1
18마리,4
또봉이F&S,1
1000~2000원,2
522만,4
389만,4
801만,2
10종목,1
4190억,2
6000여억,1
1948만,1
475년,4
HS건설,1
LT영업담당,4
1984억,4
BF인증,2
K자형,2
24번,9
540여명,1
2900여만,2
5500여건,1
782건,2
180여건,3
1~3시간,1
484가구,2
IoT스마트시스템,2
24사단,1
5646만,4
3512만,4
674개,3
388병상,3
환경교육TF,9
K팝공연,2
1327명,2
3.95점,1
황상동366-13,1
불당23,1
794명,1
179점,3
FR컨테이너,1
kt위즈,1
kt소닉붐,1
70여곳,3
8400명,1
325가구,1
생성AI,3
3805대,2
19~59세,1
2490여명,1
8777톤,3
56세,2
2058명,1
7299명,1
47편,4
8편,4
750여,3
6000명대,2
6078명,1
6132명,1
3306명,1
546만,10
9246만,1
268만,4
1106번지,4
2~4명,2
고화질CCTV,2
172대,2
이매촌한신A,2
한진A,2
SK플래닛,2
330번,2
231번,3
9300번,1
158대,3
104대,2
51번,4
60번,2
220번,2
88번,4
55인,1
플랜C,3
180여개,2
400분,3
5602만,1
2889만,1
비전AI,6
326광년,1
1715개,1
319개,3
4949만,1
339평,1
911만,3
142만,6
4주기,1
2346만,3
3089만,3
1819만,6
1425만,3
AS기사,1
3327건,1
17유스,1
8골,1
40번,5
48회,2
1.24대,3
230여대,3
797편,1
380조,3
4~6주,3
1920명,1
89번지,4
5771명,3
5406명,2
4680명,2
4619명,2
4531명,2
4339명,2
9118명,1
9111명,1
784개,2
3796개,1
2000병상,1
3437병상,1
2238병상,1
47학급,1
유3,1
초30,1
중12,1
특2,1
39차례,1
99차례,1
208번,1
449대,4
G마크,2
20~40분,2
5인실,1
4인실,5
5칸,1
1815평,1
3009평,1
8자,4
15코스,1
442.9명,3
425.7명,3
세라지오CC,1
김포씨사이드CC,1
포천힐스CC,1
